RMS,Kurtosis,Peak_to_Peak,Skewness
0.07417899856512623,0.6292092021170044,0.8400000000000001,0.083999587851269
0.07538245681139528,0.6487424093070309,0.757,0.05214572667612897
0.07622977446919937,0.5138937170258222,0.903,0.032810401269489885
0.07872367646602974,1.1585285019885925,1.184,0.04148900052311136
0.07847429073677968,0.6036172404933771,0.782,0.028226011745099387
0.07831464139380723,0.45649801800150813,0.8049999999999999,0.026854939255925688
0.07863244325857172,0.4790248714887766,0.796,0.058598871147554674
0.07777288022464836,0.47239073136216936,0.749,0.08258786699415814
0.07902942984262255,0.4049061226193671,0.747,-0.008060884119540326
0.07571755989830314,0.32557575032762953,0.722,0.04632445991869034
0.07924111648011797,0.45561611311583317,0.815,0.033522202051255556
0.077638908086269,0.6419647483524056,0.913,0.019566731271746428
0.07740458087623109,0.36510812429231887,0.778,0.02577194273286153
0.07986468720103242,0.5986922642359724,0.852,0.03675248339817481
0.07921698007145074,0.5515379564037981,0.8049999999999999,0.024889549212417865
0.07866177721938719,0.5534797335794157,0.725,-0.013484601656440259
0.07845338360094803,0.48037632487840476,0.8200000000000001,0.016456736687111142
0.07762277416041877,0.44815124004968876,0.849,0.02039200448378615
0.07782555832949016,0.3418217176820537,0.761,0.0035140885281223348
0.07893316063389487,0.5968683165729933,0.874,-0.03212592484429242
0.07902854786058722,0.5067967867356327,0.8029999999999999,0.06155749373143855
0.07936328499916932,0.3847937352068196,0.742,0.03774691116421261
0.07948672040475141,0.41536679797736253,0.6859999999999999,0.01970919744356031
0.07975294340914242,0.5204940512938818,0.759,-0.038521716567523095
0.07938138784581765,0.4850924186751264,0.85,-0.03655185430630275
0.07759187944533484,0.3103442676736252,0.7130000000000001,0.026621722239063856
0.07774099563514575,0.3684250157339868,0.732,0.0013371268977277692
0.07751394405806931,0.4046000652526254,0.769,-0.03267304141278204
0.07827954401833694,0.3423682474834888,0.735,0.03369934430576653
0.07886118143611597,0.5354437327065127,0.871,-0.006817988252793706
0.07858236746600665,0.48945715298742787,0.803,-0.0026229057352787377
0.08023091764702917,0.4871236429578749,0.774,0.02306389686187617
0.07742107025313345,0.5090902061022118,0.732,-0.01826760866517854
0.07901612461528817,0.4048842121206997,0.74,0.02973296292951293
0.07823475415576188,0.4070732595233344,0.6619999999999999,-0.014542198784080416
0.07812870584960674,0.4222749206458025,0.71,-0.0117246183203719
0.07686189103169887,0.41002085652460396,0.76,-0.01280387620408474
0.07986518700725069,0.571084158858016,0.8089999999999999,-0.00977781631428379
0.07742917473155306,0.35734947611094237,0.734,0.04515156490348078
0.0784612560514543,0.6565541171106126,0.896,-0.0005041786498264656
0.0785959604559929,0.506309239910157,0.725,-0.037504894038136415
0.07866142681365101,0.4535176765189042,0.747,-0.008567821648586587
0.07762854039078106,0.4311622336999261,0.779,0.044699103963539835
0.07820874324224403,0.4888086210830598,0.749,-0.006356653588958362
0.07808856431612202,0.5372057619820834,0.913,0.030870463484647035
0.07648226248359404,0.45807478736549534,0.705,0.01815145200978273
0.07891327536794347,0.35685609706344357,0.6890000000000001,0.06839577552113577
0.07732266473953077,0.4987008010098708,0.752,0.01492236904358796
0.07824754763529333,0.33013179651246594,0.764,0.02582622991287677
0.0769698265505305,0.4247094765702504,0.771,0.04661106556231692
0.07847964256337436,0.5538267041997043,0.792,-0.04187391912764946
0.07853956351488958,0.5795482668007632,0.8300000000000001,-0.02383201595693533
0.07938090836770041,0.6281288089313075,0.9930000000000001,0.013216453190755142
0.07691333012919477,0.39889819209664656,0.738,-0.04784546732128758
0.07662792325938943,0.4256396487454195,0.793,0.01591925735045841
0.07833920727505721,0.6138303574290362,0.7909999999999999,0.050830443923432354
0.07738031364276786,0.4847330505740972,0.813,-0.010553311045046672
0.07742347280137335,0.4498178865508513,0.835,0.007370500388662385
0.07599751100981861,0.29894907510251967,0.694,-0.006799870018957975
0.07812885896719358,0.34830893823973375,0.737,0.016522251762402573
0.0786632849704597,0.4133845006506993,0.7789999999999999,-0.0018899200628458524
0.07712632634090483,0.39546293783601394,0.669,0.00894736022490375
0.07930147000233508,0.4728020016616421,0.777,-0.011075605402670935
0.0769426198413264,0.3948515919814417,0.7689999999999999,-0.0011731986523960997
0.0771994016001541,0.37839360716086956,0.774,0.03338531946357693
0.07699636792620886,0.43688618105504284,0.752,0.04034348790350649
0.0774460721521555,0.49155017272099055,0.8420000000000001,0.04240182588883669
0.07664165646604576,0.34638248686644113,0.7130000000000001,0.0499101072310979
0.07695564843578329,0.4473922853271728,0.755,-0.012697339772093065
0.0773247059887718,0.4884538143853061,0.825,0.04373153762392934
0.07577292447823547,0.5886015077188809,0.861,0.031753893830787694
0.07668913124793174,0.3627799142630792,0.74,0.032045644622067694
0.07740031675131004,0.5405861028463921,0.8029999999999999,0.0037312555604314206
0.07795509180220767,0.3264466514616422,0.781,-0.0309522630533142
0.07882041185009597,0.39521454929296596,0.769,-0.0051685086980944464
0.07756062271096396,0.3405372655407426,0.7250000000000001,0.010694955578745847
0.07689052656973988,0.44653659098530296,0.694,-0.05264869180529378
0.07824627430976747,0.4449788631957641,0.854,-0.009280788667864241
0.07672532972039367,0.6547534014072398,0.808,0.024581224363826724
0.07738254866499697,0.38674245025720166,0.786,-0.022609848437603358
0.07699061808712475,0.4494578372958693,0.71,0.031176572907027265
0.07482262488921716,0.30311315712826614,0.706,0.01369247323781841
0.07733855853789072,0.5820626625633221,0.904,-0.02619813148027933
0.0767939753394594,0.31981096553848465,0.716,0.006858408700284989
0.077721765308917,0.4397595489273458,0.754,0.007062564638476136
0.0773589786144157,0.5734976079468663,0.781,0.05269281438354037
0.07689176995692955,0.2634877352459193,0.755,-0.01355166995196394
0.07492218065631082,0.44135716911248446,0.718,-0.0049735921551424655
0.07763068115281484,0.6073537563245921,0.872,0.05105805913920572
0.07778453061583003,0.4207065698875585,0.721,-0.014119299516139295
0.0785893111942354,0.380525792996945,0.771,-0.04865362263638277
0.07599053317889341,0.34681725639021144,0.732,-0.019642686564803093
0.07671097179256287,0.35853647469820027,0.718,-0.005701958970756232
0.07504429291050385,0.3539286504292516,0.767,-0.02362021581661669
0.07824627774193958,0.5433076702341766,0.755,0.023893024319318223
0.07745035456261644,0.5012639747864229,0.764,0.021633416037905667
0.07831602988602891,0.5370585942718482,0.845,-0.0037359719380706618
0.07656014919860397,0.38960742903675216,0.8029999999999999,0.010593446124376741
0.0776802038005823,0.45126460155978654,0.759,0.012001720941365158
0.07571563009461785,0.3929227788413705,0.774,-0.012776258785412402
0.07794620572117751,0.5252844257978593,0.749,0.032967390610141284
0.07659392690463046,0.41695775375972577,0.75,-0.06116399487475681
0.07639991985536536,0.4457759046915699,0.867,-0.047886207001931795
0.07663180186215528,0.4011706403190245,0.7010000000000001,-0.018046597209758704
